"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
82033.8,35224.3,-109.774,139.433,70.3361,5139.84,215.575,712.462,134.26,42.5061,-14.0012,-7.63269,92.468
108344,43597.2,-61.569,104.479,730.763,2715.52,257.452,115.9,97.646,42.9672,15.7982,-25.8604,126.888
114951,44596.1,26.0528,51.8783,268.679,73.555,332.388,831.168,748.122,34.3716,4.30574,-1.80824,87.4871
118935,30045,56.1423,9.07971,31.4834,165.957,78.4399,105.356,218.369,7.75317,-9.059,-2.55257,32.4808
93480.2,49470.1,63.1842,14.4951,179.424,219.858,150.356,87.0766,228.382,-2.10368,-2.1359,-0.423494,66.8359
68724.5,86502.3,-33.8928,-63.1194,1105.54,5957.77,568.182,129.645,478.67,-48.8763,-30.421,24.8301,162.28
94629.7,31899.6,-41.3566,79.0292,107.474,5906.92,331.165,342.656,76.2999,-30.9763,13.2803,-4.09752,56.535
113612,54358.8,-124.075,95.7452,175.118,655.345,286.711,150.247,162.98,-48.0328,-0.649581,1.07778,146.256
200132,78138,-181.513,126.964,97.3396,12950.7,281.053,706.429,625.47,10.2547,-3.49903,18.5269,116.597
112442,57265.5,-102.042,120.574,281.056,84.5991,422.007,44.2623,2.47268,9.11972,6.66272,6.6662,169.296
66821.6,38333.7,-140.76,132.667,306.13,938.547,378.621,657.932,521.547,-54.6423,-58.8834,44.639,138.88
91041.1,32912.1,-92.337,86.2131,74.8085,3.98648,169.997,394.28,-32.9032,772.537,3.92625,23.7535,54.9318
105521,27341.3,-124.43,101.923,45.183,19.1583,203.883,437.821,138.477,692.701,-14.4774,-0.105199,32.8269
81630.9,33498.9,19.9161,-12.5865,17.853,6796.26,107.201,332.563,58.4872,51.5044,-38.0216,52.9492,29.8162
108282,55246.3,-86.5577,86.6741,76.5851,-9.18787,236.545,881.187,727.068,-15.8114,-30.7998,42.4195,100.258
115027,56633,-29.1084,76.4572,125.274,1151.39,225.377,1277.03,504.896,-40.8704,13.0841,69.9944,137.89
112985,45388.4,8.40552,98.1577,61.8305,123.524,96.6471,87.805,165.717,19.0439,18.2537,-36.8818,53.2662
108343,57477.1,-19.0905,74.5296,236.203,1369.68,173.232,115.495,129.836,29.3597,-9.83883,-25.9464,36.7462
47429.4,91180.7,-69.4976,617.231,432.374,168.739,1388.9,786.991,213.462,-20.5017,-7.16755,29.9794,161.822
107203,58536,-95.1008,78.6194,400.474,1286.46,180.843,91.2147,248.182,6.72479,6.91528,16.6009,66.0943
133099,58328.3,-163.761,49.8616,17.5346,61.3975,229.127,789.693,1272.48,24.1981,11.895,28.7469,33.2241
125893,29498.4,-154.493,96.5266,35.7489,-20.9704,102.407,190.447,392.506,44.2837,-12.8822,-3.50613,103.045
115543,30394.3,-157.973,61.5958,36.0737,1.51295,98.9406,908.353,70.8884,765.999,24.5597,-23.0925,-3.39672
124093,48209.9,-24.252,46.9055,70.4768,111.762,404.649,328.795,758.788,-25.6025,-1.17553,13.8396,113.955
97362.3,58225.9,85.1219,96.5647,397.718,514.111,351.631,200.038,233.548,4.17357,-15.189,-15.5309,117.816
82860.6,55250.8,-3.90149,-13.223,152.809,812.197,288.983,290.728,-49.9157,14.4994,-8.17396,12.2724,118.252
93646.4,52628.4,-40.0425,94.1293,166.449,57.3705,363.793,437.898,493.243,-54.6459,13.5958,17.0667,135.591
30795.3,42617.8,-37.3179,75.6767,437.665,526.551,396.327,306.755,605.462,-70.2237,-0.540176,0.672175,94.9935
101213,66030.5,-50.5713,57.7854,440.507,143.911,379.966,169.945,202.904,6.85024,-26.7561,6.40698,183.834
80895,67140.7,-4.19336,41.1245,196.109,41.6811,419.869,809.241,734.013,-17.7498,5.13159,-23.3582,185.047
134927,45884.3,-43.9689,81.807,43.0534,4225.33,143.574,210.638,627.806,3.5894,5.2958,-18.4825,57.4719
