"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
34853,174148,-133.689,2447.54,57.4491,369.835,166.717,1989.99,137.09,438.008,11.7455,-9.94365,542.286
44886,29716.9,-52.9891,179.682,238.202,276.772,468.177,156.322,69.2999,-0.287252,4.14182,2.14397,130.472
65686.5,58077.5,-223.458,111.343,209.922,31.9337,564.487,138.471,216.291,-31.344,-7.5404,-3.66418,20.8152
96270.2,55946.8,-176.351,298.709,305.274,166.171,1541.92,562.97,-45.3349,45.3553,-23.1353,-18.413,70.6613
70834.3,28242.6,-123.117,141.307,1162.32,375.286,387.958,157.963,8.02637,-1.49208,28.0779,11.1744,70.7896
100703,42721.1,-28.6136,189.966,288.028,1496.42,417.528,273.449,166.001,5.27882,-54.9693,7.88324,7.38285
79772.7,44926.4,-122.121,196.974,188.681,3521.59,304.278,124.929,248.204,29.9745,-7.71886,-16.1332,97.5419
65830.4,37698.3,-97.1847,167.661,296.95,906.244,766.405,695.483,181.914,51.6601,-31.4117,-6.99297,70.8431
96950.9,34058.7,-122.297,100.561,63.9389,99.5895,336.969,76.994,155.832,0.428284,49.6196,-57.7972,41.4618
51011.3,44122.4,-185.292,207.712,563.526,585.235,619.045,101.951,-52.0871,33.7506,37.8084,-13.9855,70.2467
112125,57381.2,-149.949,126.308,325.678,3960.45,536.455,134.235,215.73,31.1157,18.8729,0.375077,125.51
39373.7,50259.8,-95.1936,192.157,720.945,1337.08,710.178,206.957,137.69,54.5567,30.5398,8.37884,57.3238
12365.1,43018.3,-220.69,307.207,1338.81,2309.74,1657.84,383.82,160.178,88.1801,13.7901,-75.9497,222.012
48562.6,33447.7,-127.499,132.528,170.436,177.415,574.957,205.004,114.185,17.2298,5.88177,-4.7866,28.2085
90514.7,35172.4,-70.1376,343.764,113.805,286.18,510.997,558.523,239.038,-24.1224,25.2914,-85.3108,24.2063
80449.5,45166.7,-105.492,282.121,180.978,139.755,543.589,1043.88,111.45,31.8619,25.218,12.1175,111.529
102390,50483.5,-237.42,320.112,125.95,98.0738,618.602,1164.69,638.973,-30.2643,-22.6303,-3.93552,18.72
105843,36976,-11.5957,23.9199,246.768,2791.19,504.016,181.473,374.641,48.5573,6.07287,2.85572,58.7035
61052.7,39056.7,-54.4807,179.545,189.23,945.014,467.402,229.616,140.126,27.2008,26.5554,-19.5147,41.1447
21706.6,37510.9,-171.663,173.188,567.761,1140.3,1316.58,319.878,39.1652,26.4604,5.04217,-8.19612,17.5738
98981.3,49218.5,-187.196,210.93,139.255,2982.3,509.649,458.596,818.715,28.5616,-29.6449,6.9009,64.58
105748,49959.7,-120.758,102.89,118.02,2777.52,287.004,145.869,115.422,38.2343,2.54506,11.1963,11.5107
104661,71465.7,-309.624,242.797,217.956,165.943,778.214,1039.32,1258.85,-16.8623,21.771,-43.8877,126.415
107954,34267.3,-120.1,122.808,321.287,41.8572,504.497,168.124,245.253,-28.3406,23.6928,29.1177,86.9609
